ACTOR_ID,INCIDENT_ID,ACTOR_TYPE,ACTOR_PATTERN
65,65,External,Cyber-Espionage
66,66,Internal,Privilege Misuse
67,67,External,Lost and Stolen Assets
68,68,Partner,Lost and Stolen Assets
69,69,External,Web Applications
70,70,External,Everything Else
71,71,External,Point of Sale
72,72,Internal,Miscellaneous Errors
73,73,Internal,Privilege Misuse
74,74,Internal,Privilege Misuse
75,75,Internal,Privilege Misuse
76,76,Unknown,Everything Else
77,77,External,Everything Else
78,78,External,Denial of Service
79,79,Unknown,Everything Else
80,80,Internal,Miscellaneous Errors
81,81,External,Lost and Stolen Assets
82,82,External,Lost and Stolen Assets
83,83,Internal,Privilege Misuse
84,84,Internal,Lost and Stolen Assets
85,85,Partner,Miscellaneous Errors
86,86,External,Everything Else
87,87,Unknown,Payment Card Skimmers
88,88,Internal,Miscellaneous Errors
89,89,External,Lost and Stolen Assets
90,90,Internal,Privilege Misuse
91,91,External,Everything Else
92,92,Internal,Privilege Misuse
93,93,External,Payment Card Skimmers
94,94,Internal,Miscellaneous Errors
95,95,Internal,Miscellaneous Errors
96,96,External,Web Applications
97,97,External,Everything Else
98,98,Internal,Miscellaneous Errors
99,99,External,Lost and Stolen Assets
100,100,Partner,Miscellaneous Errors
101,101,External,Everything Else
102,102,External,Web Applications
103,103,External,Lost and Stolen Assets
104,104,External Internal,Miscellaneous Errors
105,105,Unknown,Lost and Stolen Assets
106,106,External,Lost and Stolen Assets
107,107,Unknown,Everything Else
108,108,Partner,Miscellaneous Errors
109,109,Partner,Privilege Misuse
110,110,External,Lost and Stolen Assets
111,111,Internal,Privilege Misuse
112,112,Internal,Privilege Misuse
113,113,External,Lost and Stolen Assets
114,114,External,Crimeware
115,115,Internal,Miscellaneous Errors
116,116,Internal,Miscellaneous Errors
117,117,Internal,Miscellaneous Errors
118,118,External,Crimeware
119,119,External,Web Applications
120,120,Partner,Miscellaneous Errors
121,121,Internal,Miscellaneous Errors
122,122,Internal,Miscellaneous Errors
123,123,Internal,Privilege Misuse
124,124,External,Web Applications
125,125,External,Web Applications
126,126,Partner,Miscellaneous Errors
127,127,External,Lost and Stolen Assets
128,128,External,Web Applications
129,129,External,Web Applications
130,130,Partner,Lost and Stolen Assets
131,131,External,Web Applications
132,132,Internal,Miscellaneous Errors
133,133,External Partner,Crimeware
134,134,External,Payment Card Skimmers
135,135,Internal,Miscellaneous Errors
136,136,External,Lost and Stolen Assets
137,137,Internal,Privilege Misuse
138,138,External,Lost and Stolen Assets
139,139,External,Lost and Stolen Assets
140,140,External Internal,Privilege Misuse
141,141,External,Lost and Stolen Assets
142,142,External,Web Applications
143,143,External,Everything Else
144,144,Internal,Privilege Misuse
145,145,Internal,Miscellaneous Errors
146,146,Internal,Privilege Misuse
147,147,Internal,Miscellaneous Errors
148,148,External Internal,Privilege Misuse
149,149,Partner,Miscellaneous Errors
150,150,Internal,Miscellaneous Errors
151,151,Internal,Miscellaneous Errors
152,152,External,Web Applications
153,153,External,Lost and Stolen Assets
154,154,External,Cyber-Espionage
155,155,External,Web Applications
156,156,External,Lost and Stolen Assets
157,157,Internal,Privilege Misuse
158,158,External,Lost and Stolen Assets
159,159,External,Lost and Stolen Assets
160,160,External,Web Applications
161,161,External,Denial of Service
162,162,External,Everything Else
163,163,External,Web Applications
164,164,Internal,Miscellaneous Errors
165,165,External,Everything Else
166,166,Internal,Miscellaneous Errors
167,167,External,Crimeware
168,168,Internal,Privilege Misuse
169,169,Partner,Lost and Stolen Assets
170,170,Internal,Miscellaneous Errors
171,171,Internal,Privilege Misuse
172,172,Internal,Miscellaneous Errors
173,173,External,Cyber-Espionage
174,174,External,Web Applications
175,175,Internal,Privilege Misuse
176,176,Internal,Miscellaneous Errors
177,177,External,Everything Else
178,178,External,Lost and Stolen Assets
179,179,Internal,Privilege Misuse
180,180,External,Web Applications
181,181,External,Web Applications
182,182,External,Everything Else
183,183,External,Lost and Stolen Assets
184,184,External,Everything Else
185,185,Internal,Miscellaneous Errors
186,186,External,Point of Sale
187,187,External,Lost and Stolen Assets
188,188,Internal,Miscellaneous Errors
189,189,External,Web Applications
190,190,External,Web Applications
191,191,Partner,Lost and Stolen Assets
192,192,External,Everything Else
193,193,Partner,Privilege Misuse
194,194,External,Payment Card Skimmers
195,195,Internal,Miscellaneous Errors
196,196,External,Lost and Stolen Assets
197,197,Internal,Privilege Misuse
198,198,Partner,Lost and Stolen Assets
199,199,Internal,Everything Else
200,200,External,Lost and Stolen Assets
201,201,External,Payment Card Skimmers
202,202,Internal,Privilege Misuse
203,203,External,Everything Else
204,204,Internal,Miscellaneous Errors
205,205,Internal,Lost and Stolen Assets
206,206,Internal,Miscellaneous Errors
207,207,External,Web Applications
208,208,External,Lost and Stolen Assets
209,209,External,Lost and Stolen Assets
210,210,Unknown,Lost and Stolen Assets
211,211,Unknown,Everything Else
212,212,External,Everything Else
213,213,Internal,Miscellaneous Errors
214,214,External Internal,Privilege Misuse
215,215,External,Web Applications
216,216,Partner,Miscellaneous Errors
217,217,External,Crimeware
218,218,External,Crimeware
219,219,External,Web Applications
220,220,External,Everything Else
221,221,Internal,Lost and Stolen Assets
222,222,External,Crimeware
223,223,Internal,Miscellaneous Errors
224,224,Internal,Miscellaneous Errors
225,225,Internal,Lost and Stolen Assets
226,226,External,Denial of Service
227,227,External,Everything Else
228,228,Internal,Privilege Misuse
229,229,External,Web Applications
230,230,External,Everything Else
231,231,External,Everything Else
232,232,Internal,Lost and Stolen Assets
233,233,Internal,Miscellaneous Errors
234,234,Partner,Lost and Stolen Assets
235,235,External,Crimeware
236,236,External Internal Partner,Everything Else
237,237,External,Payment Card Skimmers
238,238,Internal,Lost and Stolen Assets
239,239,Internal,Miscellaneous Errors
240,240,Unknown,Everything Else
241,241,Internal,Privilege Misuse
242,242,Internal,Miscellaneous Errors
243,243,Internal,Miscellaneous Errors
244,244,External,Lost and Stolen Assets
245,245,External,Lost and Stolen Assets
246,246,Internal,Privilege Misuse
247,247,External,Everything Else
248,248,Internal,Miscellaneous Errors
249,249,External,Lost and Stolen Assets
250,250,External,Lost and Stolen Assets
251,251,External,Web Applications
252,252,External,Crimeware
253,253,Internal,Miscellaneous Errors
254,254,Internal,Lost and Stolen Assets
255,255,External,Web Applications
256,256,Unknown,Lost and Stolen Assets
257,257,Internal,Miscellaneous Errors
258,258,External,Lost and Stolen Assets
259,259,External,Everything Else
260,260,Internal,Lost and Stolen Assets
261,261,Partner,Privilege Misuse
262,262,Internal,Miscellaneous Errors
263,263,Internal,Miscellaneous Errors
264,264,Internal,Miscellaneous Errors
265,265,Internal,Miscellaneous Errors
266,266,Partner,Lost and Stolen Assets
267,267,Internal,Privilege Misuse
268,268,Internal,Lost and Stolen Assets
269,269,Internal,Everything Else
270,270,Internal,Privilege Misuse
271,271,Internal,Miscellaneous Errors
272,272,External,Cyber-Espionage
273,273,External,Web Applications
274,274,External,Denial of Service
275,275,Internal,Miscellaneous Errors
276,276,Internal,Miscellaneous Errors
277,277,External,Lost and Stolen Assets
278,278,Internal,Miscellaneous Errors
279,279,External,Lost and Stolen Assets
280,280,Internal,Privilege Misuse
281,281,Internal,Privilege Misuse
282,282,Internal,Privilege Misuse
283,283,External,Web Applications
284,284,External,Lost and Stolen Assets
285,285,External,Cyber-Espionage
286,286,External,Everything Else
287,287,External,Everything Else
288,288,Internal,Miscellaneous Errors
289,289,Internal,Miscellaneous Errors
290,290,External,Lost and Stolen Assets
291,291,External,Lost and Stolen Assets
292,292,Unknown,Web Applications
293,293,External,Lost and Stolen Assets
294,294,Internal,Privilege Misuse
295,295,Internal,Miscellaneous Errors
296,296,External,Lost and Stolen Assets
297,297,External,Lost and Stolen Assets
298,298,Internal,Miscellaneous Errors
299,299,Internal,Miscellaneous Errors
300,300,External,Crimeware
301,301,External,Web Applications
302,302,Internal,Lost and Stolen Assets
303,303,Internal,Miscellaneous Errors
304,304,Internal,Privilege Misuse
305,305,Internal,Privilege Misuse
306,306,External,Cyber-Espionage
307,307,External,Everything Else
308,308,External,Denial of Service
309,309,External,Lost and Stolen Assets
310,310,External,Miscellaneous Errors
311,311,Internal,Miscellaneous Errors
312,312,Internal,Miscellaneous Errors
313,313,External Internal,Privilege Misuse
314,314,Internal,Privilege Misuse
315,315,External,Lost and Stolen Assets
316,316,External Internal,Privilege Misuse
317,317,Partner,Miscellaneous Errors
318,318,Internal Partner,Miscellaneous Errors
319,319,Internal,Miscellaneous Errors
320,320,External,Web Applications
321,321,External,Lost and Stolen Assets
322,322,External,Everything Else
323,323,External,Everything Else
324,324,Unknown,Point of Sale
325,325,Partner,Miscellaneous Errors
326,326,Internal,Lost and Stolen Assets
327,327,Internal,Miscellaneous Errors
328,328,External,Payment Card Skimmers
329,329,Internal,Lost and Stolen Assets
330,330,External,Lost and Stolen Assets
331,331,Internal,Privilege Misuse
332,332,External Internal,Lost and Stolen Assets
333,333,External,Lost and Stolen Assets
334,334,External,Denial of Service
335,335,Internal,Miscellaneous Errors
336,336,External,Lost and Stolen Assets
337,337,Internal,Miscellaneous Errors
338,338,Internal,Privilege Misuse
339,339,External,Web Applications
340,340,Internal,Miscellaneous Errors
341,341,Internal,Miscellaneous Errors
342,342,Internal,Privilege Misuse
343,343,External,Web Applications
344,344,External,Everything Else
345,345,External,Lost and Stolen Assets
346,346,External,Payment Card Skimmers
347,347,External,Lost and Stolen Assets
348,348,External,Lost and Stolen Assets
349,349,Internal,Miscellaneous Errors
350,350,Internal,Miscellaneous Errors
351,351,Internal,Miscellaneous Errors
352,352,External,Web Applications
353,353,External,Denial of Service
354,354,External,Cyber-Espionage
355,355,External,Cyber-Espionage
356,356,External,Lost and Stolen Assets
357,357,External,Lost and Stolen Assets
358,358,Partner,Miscellaneous Errors
359,359,Internal,Privilege Misuse
360,360,Internal,Lost and Stolen Assets
361,361,External,Web Applications
362,362,Internal,Miscellaneous Errors
363,363,External,Web Applications
364,364,Partner,Miscellaneous Errors
365,365,Internal,Lost and Stolen Assets
366,366,External,Lost and Stolen Assets
367,367,Internal,Lost and Stolen Assets
368,368,External,Cyber-Espionage
369,369,External,Web Applications
370,370,Internal,Miscellaneous Errors
371,371,External,Everything Else
372,372,External,Crimeware
373,373,Internal,Privilege Misuse
374,374,External,Web Applications
375,375,External,Lost and Stolen Assets
376,376,External,Crimeware
377,377,Internal,Privilege Misuse
378,378,Internal,Privilege Misuse
379,379,Internal,Privilege Misuse
380,380,External Internal,Crimeware
381,381,Internal,Lost and Stolen Assets
382,382,Internal,Miscellaneous Errors
383,383,External,Web Applications
384,384,External,Web Applications
385,385,External,Web Applications
386,386,External,Web Applications
387,387,Internal,Lost and Stolen Assets
388,388,Internal,Privilege Misuse
389,389,External,Lost and Stolen Assets
390,390,Internal,Miscellaneous Errors
391,391,External,Everything Else
392,392,Internal,Miscellaneous Errors
393,393,Internal,Miscellaneous Errors
394,394,Internal,Privilege Misuse
395,395,Internal,Miscellaneous Errors
396,396,External,Lost and Stolen Assets
397,397,Internal,Privilege Misuse
398,398,External,Payment Card Skimmers
399,399,External,Crimeware
400,400,External Unknown,Everything Else
401,401,Internal,Privilege Misuse
402,402,External,Everything Else
403,403,Internal,Lost and Stolen Assets
404,404,External,Web Applications
405,405,External,Web Applications
406,406,Internal,Miscellaneous Errors
407,407,Internal,Privilege Misuse
408,408,External,Cyber-Espionage
409,409,Internal,Privilege Misuse
410,410,External Internal,Lost and Stolen Assets
411,411,External,Lost and Stolen Assets
412,412,Internal,Miscellaneous Errors
413,413,Internal,Miscellaneous Errors
414,414,External,Crimeware
415,415,Internal Partner,Privilege Misuse
416,416,Unknown,Everything Else
417,417,External,Web Applications
418,418,Internal,Privilege Misuse
419,419,External,Denial of Service
420,420,External,Crimeware
421,421,External,Denial of Service
422,422,Internal,Privilege Misuse
423,423,Internal,Lost and Stolen Assets
424,424,Internal,Miscellaneous Errors
425,425,External,Web Applications
426,426,Internal,Miscellaneous Errors
427,427,External,Lost and Stolen Assets
428,428,External,Web Applications
429,429,External,Denial of Service
430,430,External,Lost and Stolen Assets
431,431,External,Web Applications
432,432,Internal,Miscellaneous Errors
433,433,External,Lost and Stolen Assets
434,434,Internal,Privilege Misuse
435,435,Internal,Miscellaneous Errors
436,436,Internal Partner,Miscellaneous Errors
437,437,Internal,Lost and Stolen Assets
438,438,External,Everything Else
439,439,External,Crimeware
440,440,Partner,Miscellaneous Errors
441,441,External,Lost and Stolen Assets
442,442,Internal,Miscellaneous Errors
443,443,Partner,Miscellaneous Errors
444,444,External Internal,Miscellaneous Errors
445,445,External,Denial of Service
446,446,Internal,Privilege Misuse
447,447,Internal,Privilege Misuse
448,448,External,Web Applications
449,449,External,Crimeware
450,450,Internal,Miscellaneous Errors
451,451,Internal,Privilege Misuse
452,452,Internal,Miscellaneous Errors
453,453,External,Payment Card Skimmers
454,454,External Internal,Lost and Stolen Assets
455,455,External Unknown,Lost and Stolen Assets
456,456,External,Lost and Stolen Assets
457,457,External,Payment Card Skimmers
458,458,External,Lost and Stolen Assets
459,459,Internal,Privilege Misuse
460,460,Internal,Privilege Misuse
461,461,Internal,Lost and Stolen Assets
462,462,External,Web Applications
463,463,External,Web Applications
464,464,External,Cyber-Espionage
465,465,External,Crimeware
466,466,External,Lost and Stolen Assets
467,467,External,Web Applications
468,468,External,Lost and Stolen Assets
469,469,Internal,Privilege Misuse
470,470,External,Everything Else
471,471,Internal,Lost and Stolen Assets
472,472,Internal,Lost and Stolen Assets
473,473,Internal,Miscellaneous Errors
474,474,External,Lost and Stolen Assets
475,475,External,Crimeware
476,476,Internal,Privilege Misuse
477,477,External Internal,Lost and Stolen Assets
478,478,External,Lost and Stolen Assets
479,479,Internal,Privilege Misuse
480,480,Internal,Lost and Stolen Assets
481,481,Internal,Privilege Misuse
482,482,External,Everything Else
483,483,External,Lost and Stolen Assets
484,484,Internal,Miscellaneous Errors
485,485,Internal,Privilege Misuse
486,486,External,Web Applications
487,487,Internal,Privilege Misuse
488,488,External,Everything Else
489,489,Internal,Privilege Misuse
490,490,External,Denial of Service
491,491,Internal,Privilege Misuse
492,492,External,Denial of Service
493,493,Internal,Privilege Misuse
494,494,External,Everything Else
495,495,External,Point of Sale
496,496,Internal,Lost and Stolen Assets
497,497,External Internal,Lost and Stolen Assets
498,498,External,Web Applications
499,499,External,Everything Else
500,500,External,Cyber-Espionage
501,501,External,Cyber-Espionage
502,502,External,Lost and Stolen Assets
503,503,External,Everything Else
504,504,External,Point of Sale
505,505,External,Web Applications
506,506,External,Lost and Stolen Assets
507,507,Internal,Miscellaneous Errors
508,508,External,Everything Else
509,509,External,Web Applications
510,510,Internal,Privilege Misuse
511,511,Internal,Privilege Misuse
512,512,External,Everything Else
513,513,External,Everything Else
514,514,External,Lost and Stolen Assets
515,515,Internal,Everything Else
516,516,Internal,Miscellaneous Errors
517,517,Internal,Miscellaneous Errors
518,518,External,Web Applications
519,519,External,Lost and Stolen Assets
520,520,External,Everything Else
521,521,Internal,Privilege Misuse
522,522,External,Everything Else
523,523,External,Web Applications
524,524,External,Lost and Stolen Assets
525,525,Partner,Miscellaneous Errors
526,526,External,Everything Else
527,527,Internal,Privilege Misuse
528,528,External,Lost and Stolen Assets
529,529,External,Payment Card Skimmers
530,530,External,Lost and Stolen Assets
531,531,Internal,Privilege Misuse
532,532,Partner,Miscellaneous Errors
533,533,Internal,Privilege Misuse
534,534,External,Web Applications
535,535,External Internal,Privilege Misuse
536,536,External,Lost and Stolen Assets
537,537,External,Payment Card Skimmers
538,538,External,Web Applications
539,539,External,Everything Else
540,540,External Unknown,Everything Else
541,541,Internal,Lost and Stolen Assets
542,542,Unknown,Everything Else
543,543,External,Denial of Service
544,544,Internal,Miscellaneous Errors
545,545,External,Denial of Service
546,546,External,Lost and Stolen Assets
547,547,External,Everything Else
548,548,Internal,Miscellaneous Errors
549,549,Internal,Privilege Misuse
550,550,External,Lost and Stolen Assets
551,551,Internal,Lost and Stolen Assets
552,552,External,Everything Else
553,553,External Internal,Lost and Stolen Assets
554,554,External,Everything Else
555,555,Internal,Miscellaneous Errors
556,556,Internal,Miscellaneous Errors
557,557,Internal,Privilege Misuse
558,558,Internal,Miscellaneous Errors
559,559,Internal,Miscellaneous Errors
560,560,External,Lost and Stolen Assets
561,561,Internal,Lost and Stolen Assets
562,562,External,Web Applications
563,563,External,Everything Else
564,564,Internal,Lost and Stolen Assets
565,565,External,Everything Else
566,566,Internal,Miscellaneous Errors
567,567,Unknown,Everything Else
568,568,Internal,Miscellaneous Errors
569,569,Internal,Miscellaneous Errors
570,570,External,Web Applications
571,571,External,Lost and Stolen Assets
572,572,External,Payment Card Skimmers
573,573,External,Lost and Stolen Assets
574,574,Internal,Miscellaneous Errors
575,575,Internal,Privilege Misuse
576,576,External,Everything Else
577,577,External,Lost and Stolen Assets
578,578,Internal,Privilege Misuse
579,579,Internal,Privilege Misuse
580,580,Partner,Privilege Misuse
581,581,External,Denial of Service
582,582,Internal,Miscellaneous Errors
583,583,External,Lost and Stolen Assets
584,584,Internal,Lost and Stolen Assets
585,585,External,Web Applications
586,586,External,Web Applications
587,587,Internal,Privilege Misuse
588,588,External,Lost and Stolen Assets
589,589,Internal,Miscellaneous Errors
590,590,Unknown,Web Applications
591,591,External,Web Applications
592,592,Internal,Miscellaneous Errors
593,593,External,Payment Card Skimmers
594,594,External,Web Applications
595,595,External,Web Applications
596,596,External,Lost and Stolen Assets
597,597,Internal,Miscellaneous Errors
598,598,External,Denial of Service
599,599,Internal,Miscellaneous Errors
600,600,Internal,Privilege Misuse
601,601,External Internal,Privilege Misuse
602,602,External Internal,Privilege Misuse
603,603,Internal,Privilege Misuse
604,604,External,Payment Card Skimmers
605,605,External,Everything Else
606,606,External,Denial of Service
607,607,External,Everything Else
608,608,Internal,Miscellaneous Errors
609,609,External,Payment Card Skimmers
610,610,External,Web Applications
611,611,Internal,Privilege Misuse
612,612,Internal,Miscellaneous Errors
613,613,External,Everything Else
614,614,Partner,Miscellaneous Errors
615,615,External,Web Applications
616,616,Unknown,Everything Else
617,617,External,Lost and Stolen Assets
618,618,External,Web Applications
619,619,Internal,Privilege Misuse
620,620,External,Crimeware
621,621,External,Crimeware
622,622,Internal,Miscellaneous Errors
623,623,External,Lost and Stolen Assets
624,624,External,Lost and Stolen Assets
625,625,External,Web Applications
626,626,Internal,Lost and Stolen Assets
627,627,External,Lost and Stolen Assets
628,628,External,Cyber-Espionage
629,629,External,Point of Sale
630,630,Internal,Privilege Misuse
631,631,Internal,Miscellaneous Errors
632,632,External,Everything Else
633,633,Internal,Privilege Misuse
634,634,External,Lost and Stolen Assets
635,635,Internal Partner,Everything Else
636,636,Internal,Privilege Misuse
637,637,Internal,Miscellaneous Errors
638,638,External,Web Applications
639,639,Internal,Privilege Misuse
640,640,External,Denial of Service
641,641,Internal,Privilege Misuse
642,642,Internal,Privilege Misuse
643,643,External,Lost and Stolen Assets
644,644,External,Lost and Stolen Assets
645,645,External,Web Applications
646,646,Internal,Privilege Misuse
647,647,External,Cyber-Espionage
648,648,External,Everything Else
649,649,External,Everything Else
650,650,Internal,Privilege Misuse
651,651,Partner,Miscellaneous Errors
652,652,Internal,Miscellaneous Errors
653,653,Internal,Miscellaneous Errors
654,654,Internal,Miscellaneous Errors
655,655,External,Lost and Stolen Assets
656,656,Internal,Miscellaneous Errors
657,657,External,Everything Else
658,658,External,Everything Else
659,659,Internal,Privilege Misuse
660,660,Internal,Miscellaneous Errors
661,661,Internal,Privilege Misuse
662,662,Internal,Miscellaneous Errors
663,663,External,Crimeware
664,664,Internal,Privilege Misuse
665,665,Internal,Miscellaneous Errors
666,666,Internal,Lost and Stolen Assets
667,667,External,Everything Else
668,668,External,Everything Else
669,669,External,Everything Else
670,670,External,Everything Else
671,671,External,Web Applications
672,672,Internal,Lost and Stolen Assets
673,673,Internal,Privilege Misuse
674,674,External,Everything Else
675,675,External,Crimeware
676,676,External,Lost and Stolen Assets
677,677,Internal,Privilege Misuse
678,678,Internal,Privilege Misuse
679,679,External,Crimeware
680,680,Internal,Privilege Misuse
681,681,External,Denial of Service
682,682,External,Lost and Stolen Assets
683,683,External,Crimeware
684,684,Internal,Miscellaneous Errors
685,685,Internal,Miscellaneous Errors
686,686,Internal,Everything Else
687,687,Partner,Privilege Misuse
688,688,External,Lost and Stolen Assets
689,689,Internal,Privilege Misuse
690,690,Internal,Privilege Misuse
691,691,External,Lost and Stolen Assets
692,692,Internal,Miscellaneous Errors
693,693,External,Web Applications
694,694,Internal,Miscellaneous Errors
695,695,Internal,Privilege Misuse
696,696,Internal,Miscellaneous Errors
697,697,Internal,Miscellaneous Errors
698,698,Internal,Lost and Stolen Assets
699,699,External,Web Applications
700,700,Internal,Miscellaneous Errors
701,701,Internal,Miscellaneous Errors
702,702,Internal,Miscellaneous Errors
703,703,External,Cyber-Espionage
704,704,External,Lost and Stolen Assets
705,705,Internal,Miscellaneous Errors
706,706,Internal,Miscellaneous Errors
707,707,External,Everything Else
708,708,External,Lost and Stolen Assets
709,709,Internal,Lost and Stolen Assets
710,710,Internal Partner,Miscellaneous Errors
711,711,Partner,Lost and Stolen Assets
712,712,External,Everything Else
713,713,External Partner,Lost and Stolen Assets
714,714,Internal,Privilege Misuse
715,715,Internal,Miscellaneous Errors
716,716,External,Payment Card Skimmers
717,717,Internal,Miscellaneous Errors
718,718,External,Lost and Stolen Assets
719,719,Internal,Privilege Misuse
720,720,Internal,Privilege Misuse
721,721,External,Everything Else
722,722,External,Payment Card Skimmers
723,723,Internal,Privilege Misuse
724,724,Internal,Privilege Misuse
725,725,External,Everything Else
726,726,External,Lost and Stolen Assets
727,727,External,Everything Else
728,728,Partner,Privilege Misuse
729,729,External,Everything Else
730,730,External,Payment Card Skimmers
731,731,Internal,Privilege Misuse
732,732,External,Lost and Stolen Assets
733,733,Partner,Privilege Misuse
734,734,Unknown,Everything Else
735,735,External,Lost and Stolen Assets
736,736,External,Lost and Stolen Assets
737,737,External,Payment Card Skimmers
738,738,External,Web Applications
739,739,External,Everything Else
740,740,Internal,Lost and Stolen Assets
741,741,Internal,Miscellaneous Errors
742,742,Internal,Privilege Misuse
743,743,Unknown,Everything Else
744,744,External,Payment Card Skimmers
745,745,External,Payment Card Skimmers
746,746,Internal,Miscellaneous Errors
747,747,External,Web Applications
748,748,Internal,Miscellaneous Errors
749,749,External,Crimeware
750,750,External,Lost and Stolen Assets
751,751,Internal Partner,Privilege Misuse
752,752,Internal,Privilege Misuse
753,753,External,Everything Else
754,754,External,Web Applications
755,755,External,Everything Else
756,756,External,Crimeware
757,757,Internal,Privilege Misuse
758,758,External,Everything Else
759,759,Internal,Privilege Misuse
760,760,Partner,Privilege Misuse
761,761,Internal,Privilege Misuse
762,762,External,Web Applications
763,763,External,Everything Else
764,764,Internal,Privilege Misuse
765,765,Internal,Miscellaneous Errors
766,766,Internal,Privilege Misuse
767,767,External,Web Applications
768,768,Internal,Lost and Stolen Assets
769,769,Internal,Miscellaneous Errors
770,770,External,Web Applications
771,771,External,Lost and Stolen Assets
772,772,Internal,Privilege Misuse
773,773,Internal,Privilege Misuse
774,774,Internal,Privilege Misuse
775,775,External,Lost and Stolen Assets
776,776,External,Web Applications
777,777,External,Lost and Stolen Assets
778,778,Internal,Privilege Misuse
779,779,External Unknown,Miscellaneous Errors
780,780,Partner,Miscellaneous Errors
781,781,External,Web Applications
782,782,External,Lost and Stolen Assets
783,783,External,Lost and Stolen Assets
784,784,External,Everything Else
785,785,Internal,Privilege Misuse
786,786,Partner,Miscellaneous Errors
787,787,Internal,Privilege Misuse
788,788,External,Payment Card Skimmers
789,789,External,Everything Else
790,790,Internal,Lost and Stolen Assets
791,791,Internal,Miscellaneous Errors
792,792,External,Everything Else
793,793,External,Everything Else
794,794,External,Cyber-Espionage
795,795,External,Everything Else
796,796,External,Lost and Stolen Assets
797,797,Internal,Privilege Misuse
798,798,Unknown,Everything Else
799,799,Internal,Miscellaneous Errors
800,800,External,Everything Else
801,801,Partner,Privilege Misuse
802,802,External,Point of Sale
803,803,Internal,Miscellaneous Errors
804,804,Partner,Privilege Misuse
805,805,Internal,Privilege Misuse
806,806,External,Point of Sale
807,807,Internal,Privilege Misuse
808,808,External,Web Applications
809,809,External,Everything Else
810,810,External,Web Applications
811,811,Internal,Privilege Misuse
812,812,External,Crimeware
813,813,Internal,Privilege Misuse
814,814,Internal,Privilege Misuse
815,815,External,Web Applications
816,816,Internal,Privilege Misuse
817,817,Internal,Miscellaneous Errors
818,818,Internal,Miscellaneous Errors
819,819,Unknown,Everything Else
820,820,Internal,Privilege Misuse
821,821,Internal,Miscellaneous Errors
822,822,Internal,Miscellaneous Errors
823,823,External,Crimeware
824,824,External,Payment Card Skimmers
825,825,External,Everything Else
826,826,Internal,Privilege Misuse
827,827,Internal,Privilege Misuse
828,828,Internal,Miscellaneous Errors
829,829,External,Point of Sale
830,830,Internal,Lost and Stolen Assets
831,831,Internal,Miscellaneous Errors
832,832,External,Lost and Stolen Assets
833,833,External,Crimeware
834,834,Internal,Miscellaneous Errors
835,835,Internal,Privilege Misuse
836,836,Internal,Miscellaneous Errors
837,837,Internal,Miscellaneous Errors
838,838,External,Web Applications
839,839,Internal,Lost and Stolen Assets
840,840,External,Lost and Stolen Assets
841,841,Internal,Miscellaneous Errors
842,842,Internal,Privilege Misuse
843,843,Internal,Lost and Stolen Assets
844,844,Internal,Miscellaneous Errors
845,845,Internal,Lost and Stolen Assets
846,846,External,Crimeware
847,847,External,Everything Else
848,848,Unknown,Everything Else
849,849,Internal,Miscellaneous Errors
850,850,External,Web Applications
851,851,External,Web Applications
852,852,Internal,Miscellaneous Errors
