ORG_ID,ORG_NAME,ORG_INDUSTRY
125,NZ Government of New Zealand,Public 
126,UK National Health Service,Finance 
127,Library Systems & Services,Professional 
128,DJArts,Information 
129,Viber,Information 
130,Walsh Pharmacy,Retail 
131,Kenya National Registration Bureau,Public 
132,United States Department of Veterans Affairs,Public 
133,Marin Healthcare District,Healthcare 
134,Mart Moble Stations,Retail 
135,United States Department of Veterans Affairs,Public 
136,"Thomas L. Davis, Jr. DDS",Healthcare 
137,Jackson Health System,Healthcare 
138,"Michael S. Benjamin, M.D.",Healthcare 
139,"CardioNet, Inc",Manufacturing 
140,NA,Healthcare 
141,Brigham & Women's Hospital,Healthcare 
142,NATO Cooperative Cyber Defence Centre of Excellence,Other Services 
143,Edgepark Medical Supplies,Trade 
144,Citywide Mortgage,Finance 
145,Horizon THC,Retail 
146,Guidance Residential,Finance 
147,United States Department of Veterans Affairs,Public 
148,Bon Secours DePaul Medical Center,Healthcare 
149,Regina Qu'Appelle Regional Health Authority,Healthcare 
150,United States Department of Veterans Affairs,Public 
151,TriHealth,Healthcare 
152,Government of Albania,Public 
153,South African Standard Bank,Finance 
154,NA,Manufacturing 
155,L.A. Gay & Lesbian Center,Other Services 
156,Walgreen Co.,Retail 
157,United States Department of Veterans Affairs,Public 
158,St. Joseph Heritage Healthcare,Healthcare 
159,"Blount Memorial Hospital, Inc",Healthcare 
160,NextBus,Information 
161,Battlefield,Unknown
162,OneWest Bank FSB,Finance 
163,Alexza Pharmaceuticals,Manufacturing 
164,United States Department of Veterans Affairs,Public 
165,American Type Culture Collection,Manufacturing 
166,United States Department of Veterans Affairs,Public 
167,Hollywood Presbyterian Medical Center,Healthcare 
168,United States Department of Veterans Affairs,Public 
169,Lincoln Medical and Mental Health Center,Healthcare 
170,Seven Hills Radiology,Healthcare 
171,New York University - Dental School,Educational 
172,LeapLab,Professional 
173,Unknown,Utilities 
174,Valley View University,Educational 
175,Washington State Health Care Authority,Public 
176,Washington State Government,Public 
177,Lake County Sheriff's Office,Public 
178,Fraser Health Authority,Healthcare 
179,The Polyclinic,Healthcare 
180,Aurangabad divisional Commissionerate,Public 
181,Stethescope.com,Trade 
182,Cupid Media,Other Services 
183,Israel's Atomic Energy Commission,Public 
184,CBHS Health Fund,Finance 
185,NC A&T University ,Educational 
186,Grand Sierra Resort,Accomodation 
187,Carle Clinic Association,Healthcare 
188,Nottinghamshire County Council,Public 
189,PS Palestine Ministry of Justice,Public 
190,LexisNexis,Information 
191,United States Department of Veterans Affairs,Public 
192,Armenian national security ministry,Public 
193,SIRIUS XM Radio Inc.,Information 
194,Shell Gas Station,Retail 
195,United States Department of Veterans Affairs,Public 
196,"Ernest T. Bice, Jr. DDS, PA",Healthcare 
197,United States Department of Veterans Affairs,Public 
198,"Clinical Reference Laboratory, Inc",Healthcare 
199,United States Department of Veterans Affairs,Public 
200,United States Department of Veterans Affairs,Public 
201,New England Federal Credit Union,Finance 
202,United States Department of Veterans Affairs,Public 
203,CoPilot Provider Support Systems,Administrative 
204,University of New Haven,Educational 
205,BOLTON NHS FOUNDATION TRUST,Healthcare 
206,Home Office (Govt. of the United Kingdom),Public 
207,IN software solutions company,Information 
208,"Greater Dallas Orthopaedics, PLLC",Healthcare 
209,Retinal Consultant Medical Group,Healthcare 
210,Educational Credit Management Corp.,Finance 
211,"Medco Health Solutions, Inc.",Trade 
212,Pont3,Entertainment 
213,United States Department of Veterans Affairs,Public 
214,Randor Township School Disctrict,Educational 
215,North Wales Transportation Committee,Unknown
216,Suburban Lung Associates,Healthcare 
217,Boston University,Educational 
218,Childrens National Health System,Healthcare 
219,"Turkey Ministry of Food, Agriculture and Livestock",Public 
220,CEFCO gas station,Retail 
221,United States Department of Veterans Affairs,Public 
222,Unknown,Manufacturing 
223,Veterans Health Administration,Public 
224,Dr. Stephen Secunda,Healthcare 
225,United States Department of Veterans Affairs,Public 
226,Australian Federal Police,Public 
227,Bank,Finance 
228,Mount Olympus Mortgage Company,Finance 
229,"Strategic Forecasting, Inc.",Information 
230,Beacon Health System,Administrative 
231,Bellington Police Department,Public 
232,United States Department of Veterans Affairs,Public 
233,Albany Medical Center,Healthcare 
234,NJ Lenders Corporation,Administrative 
235,Swansea Police Department,Public 
236,Radio Station,Information 
237,Shell,Retail 
238,United States Department of Veterans Affairs,Public 
239,Planned Parenthood,Educational 
240,Ullrich Delevati CPAs,Professional 
241,Bringham Young University,Other Services 
242,Toh-Shi Printing Singapore,Manufacturing 
243,United States Department of Veterans Affairs,Public 
244,Sutherland Global Services,Administrative 
245,Tennova Cardiology,Unknown
246,"Complete P.T., Pool & Land Physical Therapy, Inc.",Healthcare 
247,Grindr LLC,Professional 
248,United States Department of Veterans Affairs,Public 
249,"BlueCross BlueShield of Tennessee, Inc.",Finance 
250,Mid America Health,Healthcare 
251,Village View Escrow,Real Estate 
252,Penn State University,Educational 
253,United States Department of Veterans Affairs,Public 
254,United States Department of Veterans Affairs,Public 
255,SW Seattle Orthopaedic and Sports Medicine,Healthcare 
256,Washington State University,Educational 
257,Royal Inland Hospital,Healthcare 
258,Oregon Health Co-op,Healthcare 
259,North Shore-Long Island Jewish Health System,Healthcare 
260,Lewisham Council,Public 
261,Dental Office,Healthcare 
262,Greenworks Medicinal,Retail 
263,Georgia,Public 
264,United States Department of Veterans Affairs,Public 
265,Stoke City Council,Public 
266,Colon & Digestive Health Specialists,Healthcare 
267,United States Department of Veteran's Affairs,Public 
268,Stoke City Council,Public 
269,California State University San Marcos,Educational 
270,Certified Tax Consultants,Professional 
271,Stanford Hospital & Clinics,Healthcare 
272,Telecomm,Information 
273,Hidalgo County,Public 
274,"Steam, Origin, Battle.net, and League of Legends",Information 
275,Louisiana Voting,Public 
276,"Fidelity Investments Institutional Services Company, Inc",Finance 
277,"Praxair Healthcare Services, Inc.",Trade 
278,Medvet Laboratories,Professional 
279,Capital Prosthetic and Orthotic Center,Healthcare 
280,CaroMont Health,Healthcare 
281,United States Department of Veterans Affairs,Public 
282,NatWest,Finance 
283,000Webhost,Information 
284,"HomeCare of Mid-Missouri, Inc.",Healthcare 
285,NA,Public 
286,Pacific Highway Rentals,Real Estate 
287,City of Killeen,Public 
288,General Genetics Corp,Professional 
289,United States Department of Veterans Affairs,Public 
290,Texas Children's Hospital,Healthcare 
291,Ameritas Life Insurance Corp.,Finance 
292,Rosenthal Collins Group,Finance 
293,"EyeCare, P.S.C",Healthcare 
294,United States Department of Veterans Affairs,Public 
295,Bureau of Workers' Compensation,Public 
296,United States Airforce,Public 
297,Palomar Health,Healthcare 
298,Midlothian Council,Public 
299,United States Department of Veterans Affairs,Public 
300,State of Franklin Healthcare,Healthcare 
301,Massachusetts Technical Institute,Educational 
302,UK Government,Public 
303,University of Bedfordshire,Educational 
304,New York City Police Department,Public 
305,Alzheimer's Society,Other Services 
306,TL Government of Timor-Leste,Public 
307,Iberdrola USA,Utilities 
308,Hetzner,Information 
309,"Lorenzo Brown, MD, Inc.",Healthcare 
310,Planned Parenthood of the Heartland,Healthcare 
311,Island Health,Healthcare 
312,Metro East health care,Healthcare 
313,Memphis Neurology,Healthcare 
314,Comfort Inn and Suites,Accomodation 
315,NYU Langone Medical Center,Healthcare 
316,"Apex Laboratory, Inc",Healthcare 
317,Lowe's Cos Inc,Unknown
318,Bon Secours Health System,Healthcare 
319,Baylor Law School,Educational 
320,Nationalist Movement Website,Unknown
321,Educators Mutual Insurance Association of Utah,Finance 
322,Mundo.com,Information 
323,Dream Host,Information 
324,Wards Nursery & Garden Center,Retail 
325,ANGLO IRISH BANK CORPORATION PLC,Finance 
326,"L-3 Communications Holdings, Inc.",Manufacturing 
327,United States Department of Veterans Affairs,Public 
328,Siam Commercial Bank PCL,Unknown
329,Veterans Administration,Public 
330,Unnamed medical practice,Healthcare 
331,KTSU Radio,Professional 
332,Logan County Emergency Ambulance Service Authority,Healthcare 
333,Stanford University Medical Center,Healthcare 
334,Charles Schwab Corp/The,Finance 
335,Department of Veterans Affairs,Public 
336,Hope Family Health Services,Healthcare 
337,United States Department of Veterans Affairs,Public 
338,Le Bonheur Children's Hospital,Healthcare 
339,Linode,Information 
340,United States Department of Veterans Affairs,Public 
341,United States Department of Veterans Affairs,Public 
342,BENTON'S ADULT FOSTER CARE,Healthcare 
343,Mass Event,Unknown
344,Beverly Hills Dougherty Laser Vision,Healthcare 
345,Serco Inc.,Professional 
346,Shell Gas Station,Retail 
347,NYU Langone Medical Center,Professional 
348,Cornell University,Educational 
349,United States Department of Veterans Affairs,Public 
350,Jonathan M. Wainwright Memorial VA Medical Center,Healthcare 
351,Stockport Primary Case Trust,Healthcare 
352,Fraternal Order of Police,Other Services 
353,Blizzard,Unknown
354,Dell Inc,Unknown
355,NA,Unknown
356,Hospice Palliative Care of Alamance Caswell / LifePath Home Health,Healthcare 
357,Childrenâ€™s Hospital Los Angeles,Healthcare 
358,Cook County Health and Hospitals System,Healthcare 
359,Stamford Univeristy Institute of Allied Medical Professions,Educational 
360,United States Department of Veterans Affairs,Public 
361,Federal Sentencing Commission,Public 
362,South West Yorkshire Partnership,Healthcare 
363,Interactive Data,Information 
364,Boston Teachers Union Health and Welfare Fund,Finance 
365,Neighborhood Christian Clinic,Healthcare 
366,New West Health Services,Healthcare 
367,VHS Genesis Lab Inc.,Healthcare 
368,Ha Dinh Primary School,Information 
369,Illinois Board of Elections,Public 
370,University Health System,Healthcare 
371,Macy's,Retail 
372,Medfield city government,Public 
373,East Lothian Council,Public 
374,Al Arabiya,Information 
375,Emory HealthCare,Healthcare 
376,Wireless Emporium,Retail 
377,"COUNTRYWIDE HOME LOANS, INC.",Finance 
378,Hamilton General Hospital,Healthcare 
379,Hancock Physician Network,Healthcare 
380,Unknown,Professional 
381,HSBC,Management 
382,United States Department of Veterans Affairs,Public 
383,iPromo,Manufacturing 
384,Vodafone,Information 
385,Sony Pictures Entertainment Inc.,Information 
386,bitcash.bz,Finance 
387,Cleveland Clinic Florida,Healthcare 
388,United States Department of Veterans Affairs,Public 
389,Fidelity Life,Finance 
390,Anchor BanCorp Wisconsin Inc,Finance 
391,United States Department of Veterans Affairs,Public 
392,United States Department of Veterans Affairs,Public 
393,Gloucestershire County Council ,Public 
394,Texas Department of Health and Human Services,Public 
395,BriovaRx,Trade 
396,"Office of Dr. Lee D. Pollan, DMD, PC.",Healthcare 
397,Bank of Nova Scotia,Finance 
398,Green Gourmet Deli,Accomodation 
399,Wset Incorporated,Information 
400,CorporateCarOnline.com,Transportation 
401,United States Department of Veterans Affairs,Public 
402,Unknown,Information 
403,Lucile Packard Children's Hospital,Healthcare 
404,Wards Nursery & Garden Center,Retail 
405,Trymedia/RealNetworks,Administrative 
406,THE SOUTH AFRICAN NATIONAL ROADS AGENCY LTD,Construction 
407,Taco Bell Corp.,Accomodation 
408,NA,Public 
409,Alabama Department of Corrections,Public 
410,M. Holdings Securities,Finance 
411,Oklahoma Department of Human Services,Public 
412,Marian Regional Medical Center,Healthcare 
413,Anthem Blue Cross,Finance 
414,Carroll County Sheriffs Office,Public 
415,University of Pittsburgh Medical Center,Healthcare 
416,"University of Louisville Research Foundations, Inc.",Educational 
417,Swimsuitesforall,Retail 
418,Locklear Dodge,Retail 
419,"Concepta, Inc",Unknown
420,Froedtert Health,Healthcare 
421,Whaleoil,Mining 
422,Roehl,Transportation 
423,Emory HealthCare,Healthcare 
424,Xtra Mile Ambulance Service,Healthcare 
425,"DeLaval, Inc.",Trade 
426,United States Department of Veterans Affairs,Public 
427,Tri County Behavioral Health Clinic,Healthcare 
428,Bohemia Interactive,Professional 
429,Northumbria Police,Public 
430,Fransiscan Medical Group,Retail 
431,NA,Professional 
432,United States Department of Veterans Affairs,Public 
433,Valley Mental Health,Healthcare 
434,SA Health,Professional 
435,United States Department of Veterans Affairs,Public 
436,US Department of Labor,Public 
437,United States Department of Veterans Affairs,Public 
438,"Keith & Fisher, DDS, PA",Healthcare 
439,South Carolina Department of Revenue,Public 
440,Open MRI of Chicago,Healthcare 
441,Crown Prosecution Service,Public 
442,United States Department of Veterans Affairs,Public 
443,Bright Horizons Family Solutions Inc,Healthcare 
444,Saugus,Public 
445,Feedly,Information 
446,North Church Nursing and Rehabilitation Center,Healthcare 
447,Yakima Police Department,Public 
448,BD Government,Public 
449,Bank of the West,Finance 
450,United States Department of Veterans Affairs,Public 
451,Island Health,Healthcare 
452,Cleveland Heights Police Department,Public 
453,Gas Station,Retail 
454,Advanced NeuroSpinal Care,Healthcare 
455,California Correctional Health Care Services,Healthcare 
456,Florida Department of Juvenile Justice,Public 
457,BP Gas Station,Retail 
458,Health Dimension,Retail 
459,Palm Beach County Health Department,Public 
460,Treasure Coast Lexus,Retail 
461,University of Rochester Medical Center,Healthcare 
462,BD NGO Affairs Bureau,Public 
463,United Nations - Armenia/Slovenia- website,Public 
464,NA,Public 
465,Bark,Other Services 
466,Hospital for Special Surgery,Healthcare 
467,Apple Inc.,Manufacturing 
468,Vision Care Specialists,Healthcare 
469,Jamaica Hospital Medical Center,Healthcare 
470,Concrete companies,Manufacturing 
471,"Volunteer State Health Plan, Inc.",Healthcare 
472,Granger Medical Clinic,Healthcare 
473,United States Department of Veterans Affairs,Public 
474,Dermatology Center of Lewisville,Healthcare 
475,Colonial Properties Trust,Real Estate 
476,James A. Haley Veterans Hospital,Healthcare 
477,Mountaintop Area Medical Center,Healthcare 
478,Eastmoreland Surgical Clinic,Healthcare 
479,MIC Electronics Ltd,Manufacturing 
480,Hong Kong Police Dept.,Public 
481,"PetSmart, Inc.",Retail 
482,21st Century Oncology,Healthcare 
483,Tri-City Medical Center,Healthcare 
484,Yellow New Zealand,Information 
485,US Internal Revenue Service,Public 
486,North Collier Hospital,Healthcare 
487,Department of Homeland Security,Public 
488,Clinkle,Professional 
489,Allstate Insurance,Finance 
490,University of Cambridge,Educational 
491,McDonald's Corp,Accomodation 
492,Kremlin,Public 
493,NYU Langone Medical Center,Healthcare 
494,CA Department of Education,Public 
495,"The Houstonian Hotel, Club & Spa",Accomodation 
496,North Shore University Hospital,Healthcare 
497,Canada Human Resources and Skills Development,Public 
498,United Nations Development Program in Ecuador,Public 
499,Warren County Public Schools,Educational 
500,NA,Professional 
501,NA,Transportation 
502,North East Medical Services,Healthcare 
503,KDDI Corp,Information 
504,Unknown,Accomodation 
505,NASA Interagency Advanced Power Group,Public 
506,Eastern Health Authority,Healthcare 
507,British Columbia Institute of Technology,Educational 
508,Moodie Report,Finance 
509,Waze,Professional 
510,Torrance Memorial Medical Center,Healthcare 
511,United Kingdom Court of Appeals,Public 
512,New Zealand Nurses Organisation ,Other Services 
513,Zaxby's,Accomodation 
514,"Sarah Benjamin, DPM - Littleton Podiatry",Healthcare 
515,Central Hudson Gas & Electric,Utilities 
516,Dalton School,Educational 
517,United States Department of Veterans Affairs,Public 
518,EX ARMY UK,Retail 
519,New York State Department of Health,Public 
520,Singh & Arora Oncology Hematology PC,Healthcare 
521,Phoenix Medical Group,Healthcare 
522,Tianya.cn,Information 
523,Nintendo Co Ltd,Manufacturing 
524,Wonderful Center for Health Innovation,Healthcare 
525,Louisiana State University System,Professional 
526,Domino's Pizza Inc,Accomodation 
527,Standard Charted Bank Korea,Finance 
528,North Country Hospital and Health Center,Healthcare 
529,TrustCo Bank Corp NY,Finance 
530,International Union of Operating Engineers Health and Welfare Fund,Other Services 
531,US National Security Agency (NSA),Public 
532,Massachusetts Mutual Life Insurance,Finance 
533,Gattison & Associates,Professional 
534,Saratoga County,Public 
535,Unknown,Information 
536,University of Nebraska Medical Center,Healthcare 
537,RBS Citizens Financial Group,Management 
538,Tata Motors Ltd,Manufacturing 
539,Disqus,Information 
540,"Sovereign Medical Group, LLC",Healthcare 
541,Alaska Public Safety Department,Public 
542,Beatrice Community Hospital and Health Center,Healthcare 
543,Move Your Money UK,Unknown
544,United States Department of Veterans Affairs,Public 
545,University of Oxford,Educational 
546,Laing O'Rourke,Construction 
547,Boston University,Educational 
548,Kelly Plaza Dental Center,Healthcare 
549,"Myriad Genetic Laboratories, Inc.",Manufacturing 
550,Alberta Health Services,Public 
551,LKM Medical,Retail 
552,PrezidentBank and Turkmenbashi bank,Finance 
553,Social Worker,Healthcare 
554,LifeWise,Finance 
555,Alliance Health Management & Consulting Inc.,Healthcare 
556,Chicago Public Schools,Educational 
557,Louisiana Healthcare Connections,Healthcare 
558,Derry Care Homes for Children,Healthcare 
559,United States Department of Veterans Affairs,Public 
560,Stephen T Imrie MD,Healthcare 
561,Children's Medical Center of Dallas,Healthcare 
562,Outbrain Inc.,Other Services 
563,Campbell County Health,Healthcare 
564,United States Department of Veterans Affairs,Public 
565,King of Prussia Dental Associates and Pediatric Dentistry of Collegeville,Healthcare 
566,Rady Children's Hospital,Healthcare 
567,Mobile Telesystems OJSC,Information 
568,United States Department of Veterans Affairs,Public 
569,United States Department of Veterans Affairs,Public 
570,Faithless,Information 
571,Sentara Norfolk General,Healthcare 
572,The Long Island Rail Road Company,Transportation 
573,Kaiser Permanente,Healthcare 
574,General Optical Council,Public 
575, Cumming Police Dept,Public 
576,German Federal Police,Public 
577,Bimbo Bakeries,Manufacturing 
578,US National Security Agency (NSA),Public 
579,Asante,Healthcare 
580,Connextions,Information 
581,University of Oxford,Educational 
582,United States Department of Veterans Affairs,Public 
583,"Robert Witham, MD, FACP",Healthcare 
584,Hong Kong Police Dept.,Public 
585,"ThuyssenKrupp OnLine Metals, LLC",Manufacturing 
586,European Central Bank,Finance 
587,Department of Veterans Affairs,Public 
588,"Cracker Barrel Old Country Store, Inc.",Accomodation 
589,Alabama Judicial System,Public 
590,World Travel Holdings,Administrative 
591,Vevo LLC,Information 
592,United States Department of Veterans Affairs,Public 
593,Chuckles Gas Station ,Retail 
594,Canoe.ca,Information 
595,The Johns Hopkins University,Educational 
596,US Federal Bureau of Investigation (FBI),Public 
597,Yale University,Educational 
598,NA,Finance 
599,"Supportive Concepts for Families, Inc.",Healthcare 
600,Care One Senior Care,Healthcare 
601,Rouge Valley Health System,Healthcare 
602,South Miami Hospital,Healthcare 
603,Oligil Tax Services,Professional 
604,Lukoil,Retail 
605,Arizona State University,Educational 
606,PlanetRomeo BV,Other Services 
607,India Ministry of External Affairs and Ministry of Home Affairs,Public 
608,United States Department of Veterans Affairs,Public 
609,Moyer's Car Care Center,Retail 
610,Northern Territory's Country Liberals,Public 
611,City of Taylor Police Department,Public 
612,United States Department of Veterans Affairs,Public 
613,Israel Institute of Technology,Educational 
614,Diatherix Laboratories,Healthcare 
615,SCAN Health Plan,Healthcare 
616,University of Massachusetts Health Services,Healthcare 
617,Washington State Department of Social and Health Services,Public 
618,Panda Security,Information 
619,United States Department of Veterans Affairs,Public 
620,St Mary's Goverment,Public 
621,NA,Unknown
622,United States Department of Veterans Affairs,Public 
623,Smile Designs,Administrative 
624,Nationwide Building Society,Finance 
625,Pirate Bay,Unknown
626,North Big Horn Hospital,Healthcare 
627,University of South Carolina,Educational 
628,NA,Public 
629,Elephant Bar,Accomodation 
630,North Bend Medical Center,Healthcare 
631,Dominican Hospital,Healthcare 
632,Genesis Clinical Laboratory,Professional 
633,United States Department of Veterans Affairs,Public 
634,"Dennis Flynn, M.D.",Healthcare 
635,SAG Health Plan,Professional 
636,"Community Health Center, Inc",Healthcare 
637,UnitedHealth Group,Finance 
638,Ferris State University,Educational 
639,Peterborough Regional Health Centre,Healthcare 
640,Riot Games,Unknown
641,United States Department of Veterans Affairs,Public 
642,US Central Intelligence Agency (CIA),Public 
643,United States Department of Veterans Affairs,Public 
644,Reid Hospital & Health Care Services,Healthcare 
645,British Pregnancy Advisory Service,Other Services 
646,Blue Cross Blue Shield of Florida,Finance 
647,NA,Public 
648,Dell Inc,Trade 
649,Nefesh Bnefesh,Other Services 
650,Community Foot Clinic,Healthcare 
651,McHenry County College,Educational 
652,United States Department of Veterans Affairs,Public 
653,Health Service Executive,Public 
654,Blue Shield of California,Finance 
655,Mountain Park Health Center,Healthcare 
656,"WPX Energy, Inc.",Mining 
657,Square Enix Holdings Co Ltd,Information 
658,Wells Fargo & Company,Finance 
659,Unknown,Administrative 
660,United States Department of Veterans Affairs,Public 
661,"Reimbursement Technologies, Inc.",Administrative 
662,Central Health,Healthcare 
663,Back in Motion Physiotherapy,Healthcare 
664,University of Central Oklahoma,Educational 
665,University System of Maryland,Educational 
666,United States Department of Veterans Affairs,Public 
667,NA,Information 
668,Ashampoo,Information 
669,D&J Optical Inc.,Trade 
670,City of Westminster,Public 
671,Tommie Copper,Trade 
672,United States Department of Veterans Affairs,Public 
673,Central Huron Health,Healthcare 
674,"Logan Community Resources, Inc.",Healthcare 
675,Erie County Medical Center,Healthcare 
676,King County Sheriff's Department,Public 
677,State of Alabama,Public 
678,University Hospitals Elyria Medical Center,Healthcare 
679,Desert Care clinic,Healthcare 
680,Goldman Sachs Group Inc/The,Finance 
681,Verizon,Information 
682,Louisville Hall of Justice,Public 
683,Cleveland Medical Associates,Healthcare 
684,United States Department of Veterans Affairs,Public 
685,United States Department of Veterans Affairs,Public 
686,Perry Hospital,Healthcare 
687,UK National Health Service,Finance 
688,OrthoCare Medical Equipment LLC,Trade 
689,"Live, Love and Dance Studio",Educational 
690,US National Security Agency (NSA),Public 
691,FEI Company,Manufacturing 
692,SACE,Public 
693,uzfiles.com,Information 
694,British Columbia Ministry of Finance,Public 
695,Desert Orthopedics,Healthcare 
696,Emblem Health,Finance 
697,NECA/IBEW Family Medical Care Plan,Other Services 
698,United States Department of Veterans Affairs,Public 
699,"Ellison Systems, Inc. d.b.a Shoplet.com",Professional 
700,London Marathon,Entertainment 
701,University of British Columbia,Educational 
702,Glens Falls Hospital,Healthcare 
703,NA,Public 
704,Irish Amateur Boxing Association High Performance Team,Entertainment 
705,Rady Childrens Hospital,Healthcare 
706,United States Department of Veterans Affairs,Public 
707,University of Massachussets-Amsherst,Educational 
708,Kennedy Space Center (NASA),Public 
709,Florida Healthy Kids Corporation,Unknown
710,"NASDAQ OMX Group, Inc.",Finance 
711,Aetna,Finance 
712,St Helens and Knowsley Teaching Hospitals NHS Trust,Healthcare 
713,State of New Mexico Human Services Department,Public 
714,Iowa Department of Human Services,Public 
715,Hurley Medical Center,Healthcare 
716,Cumberland Farms,Retail 
717,The Cheesecake Factory,Accomodation 
718,Compassionate Care Hospice,Healthcare 
719,NA,Retail 
720,Riverside Health System,Healthcare 
721,Midwest Orthopedics Group,Healthcare 
722,Republic Bank,Finance 
723,"CCS Medical, Inc.",Trade 
724,Huntington Medical Research Institutes,Professional 
725,Maricopa Community Colleges,Educational 
726,University of Pittsburgh Medical Center,Healthcare 
727,Department of Health Professions,Public 
728,Winn-Dixie,Retail 
729,Brand New Day,Healthcare 
730,Dino Stop,Retail 
731,"Bulloch Pediatric Group, LLC",Healthcare 
732,Inspira Medical Center VIneland,Healthcare 
733,First Marblhead,Finance 
734,Glidewell Laboratories,Healthcare 
735,Indiana Internal Medicine Consultants,Healthcare 
736,"Valley Plastic Surgery, PC",Healthcare 
737,Gas station,Retail 
738,Cypriot Brokerage,Finance 
739,RS McColl,Retail 
740,Cancer Care Northwest P.S.,Healthcare 
741,Erie County Department of Social Services,Public 
742,Vancouver Island Health Authority,Healthcare 
743,UnitedHealth Group,Finance 
744,TD Bank,Finance 
